DATASET = CO2018 freestyle
NAME = Instance 4

DAYS = 40
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 1000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 10000

MACHINES = 5
1 6 71
2 6 142
3 7 883
4 8 336
5 3 729

LOCATIONS = 213
1 261 488
2 249 352
3 372 373
4 543 348
5 252 357
6 343 395
7 367 425
8 599 575
9 556 194
10 237 338
11 523 527
12 723 673
13 291 464
14 472 221
15 466 448
16 385 385
17 492 291
18 586 549
19 608 531
20 379 400
21 252 335
22 562 679
23 404 379
24 258 296
25 516 86
26 608 656
27 220 224
28 324 480
29 696 342
30 177 331
31 547 495
32 491 307
33 706 472
34 323 240
35 329 449
36 416 216
37 301 465
38 590 728
39 616 586
40 347 454
41 578 435
42 553 198
43 365 269
44 252 259
45 503 571
46 342 582
47 351 559
48 267 386
49 567 687
50 258 469
51 187 385
52 711 740
53 508 304
54 266 375
55 455 191
56 213 391
57 178 360
58 554 475
59 383 582
60 728 424
61 326 226
62 631 408
63 346 497
64 209 340
65 233 325
66 480 133
67 754 600
68 757 431
69 271 512
70 575 168
71 282 377
72 295 597
73 560 28
74 381 349
75 506 49
76 618 682
77 181 371
78 292 461
79 477 368
80 698 773
81 592 422
82 272 514
83 303 430
84 543 163
85 512 494
86 270 527
87 530 38
88 82 201
89 497 186
90 415 173
91 204 341
92 512 289
93 305 526
94 199 382
95 191 387
96 267 305
97 541 31
98 456 195
99 358 388
100 293 631
101 715 438
102 541 327
103 67 236
104 670 468
105 263 426
106 614 568
107 655 396
108 642 678
109 415 431
110 489 645
111 366 441
112 195 388
113 261 314
114 371 424
115 651 546
116 475 19
117 502 473
118 317 532
119 197 317
120 476 364
121 197 385
122 238 337
123 302 468
124 695 354
125 310 445
126 256 481
127 194 370
128 317 469
129 519 318
130 401 303
131 264 424
132 600 716
133 541 45
134 360 397
135 492 291
136 558 394
137 276 220
138 390 400
139 502 54
140 286 464
141 122 212
142 302 467
143 362 568
144 181 377
145 389 569
146 229 364
147 247 348
148 201 317
149 414 435
150 356 561
151 544 427
152 312 591
153 385 350
154 239 472
155 516 318
156 188 270
157 677 725
158 423 386
159 340 420
160 482 31
161 105 214
162 267 237
163 335 271
164 258 350
165 121 208
166 586 181
167 442 246
168 297 464
169 670 660
170 303 234
171 619 364
172 322 504
173 446 462
174 240 331
175 561 497
176 253 343
177 571 514
178 582 669
179 592 435
180 356 387
181 547 162
182 523 483
183 372 428
184 420 681
185 483 359
