DATASET = CO2018 freestyle
NAME = Instance 9

DAYS = 40
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 100
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 10000

MACHINES = 5
1 4 101
2 7 644
3 5 837
4 5 868
5 8 259

LOCATIONS = 213
1 279 538
2 249 332
3 184 379
4 589 571
5 464 680
6 322 624
7 197 376
8 369 569
9 275 455
10 269 308
11 505 714
12 400 215
13 543 428
14 525 528
15 373 444
16 306 476
17 291 643
18 651 499
19 404 410
20 542 743
21 330 283
22 564 341
23 665 657
24 534 642
25 281 643
26 330 512
27 339 513
28 166 362
29 496 400
30 543 428
31 379 381
32 227 415
33 701 353
34 344 387
35 153 195
36 709 439
37 209 345
38 238 335
39 397 413
40 270 320
41 578 388
42 404 268
43 545 464
44 760 475
45 318 474
46 206 345
47 285 639
48 397 324
49 520 313
50 551 342
51 518 317
52 556 472
53 548 223
54 555 45
55 268 588
56 225 337
57 547 755
58 306 501
59 264 374
60 448 371
61 203 369
62 525 715
63 303 493
64 664 359
65 268 513
66 380 463
67 578 700
68 320 478
69 479 356
70 480 232
71 497 571
72 194 386
73 344 443
74 548 409
75 419 414
76 338 411
77 399 380
78 646 577
79 482 228
80 731 590
81 314 464
82 586 168
83 341 387
84 199 362
85 497 59
86 259 353
87 297 503
88 559 342
89 257 479
90 518 493
91 530 358
92 204 389
93 256 469
94 474 357
95 525 331
96 200 269
97 542 361
98 467 451
99 544 497
100 289 241
101 480 21
102 729 730
103 601 349
104 542 743
105 764 697
106 214 345
107 494 543
108 358 397
109 572 690
110 160 363
111 316 390
112 508 351
113 263 507
114 477 376
115 633 516
116 506 49
117 626 756
118 277 517
119 286 383
120 524 348
121 737 485
122 548 223
123 550 37
124 304 397
125 397 379
126 609 335
127 704 409
128 477 307
129 566 738
130 376 432
131 526 345
132 219 428
133 198 364
134 313 471
135 294 469
136 551 707
137 245 342
138 371 388
139 467 454
140 221 343
141 453 292
142 509 23
143 699 596
144 361 499
145 743 598
146 219 400
147 475 209
148 547 742
149 259 465
150 713 441
151 673 470
152 162 313
153 545 224
154 201 334
155 280 548
156 609 436
157 248 305
158 478 371
159 633 410
160 199 344
161 545 341
162 623 705
163 173 364
164 308 588
165 361 387
166 393 427
167 263 494
168 256 342
169 542 358
170 413 256
171 258 326
172 371 442
173 266 470
174 247 351
175 292 548
176 592 551
177 375 374
178 312 311
179 515 63
180 566 511
181 409 335
182 253 289
183 241 335
184 450 679
