DATASET = CO2018 freestyle
NAME = Instance 10

DAYS = 50
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 100000

MACHINES = 6
1 8 600
2 7 497
3 3 329
4 6 578
5 4 915
6 7 581

LOCATIONS = 267
1 288 385
2 197 382
3 213 390
4 231 407
5 295 268
6 464 458
7 329 449
8 481 466
9 606 349
10 426 253
11 309 458
12 420 409
13 150 337
14 373 429
15 273 278
16 532 421
17 490 516
18 726 430
19 491 27
20 634 408
21 275 365
22 416 325
23 522 253
24 539 363
25 522 310
26 416 420
27 549 735
28 26 229
29 284 639
30 246 339
31 195 237
32 472 462
33 304 347
34 506 475
35 579 173
36 443 196
37 533 343
38 201 269
39 258 467
40 501 313
41 250 456
42 539 460
43 261 234
44 504 363
45 660 569
46 291 354
47 452 191
48 574 345
49 671 691
50 479 339
51 349 388
52 536 363
53 262 403
54 671 726
55 352 512
56 730 430
57 568 376
58 129 259
59 335 450
60 470 287
61 346 386
62 523 359
63 260 474
64 387 378
65 537 49
66 269 295
67 318 585
68 276 371
69 540 336
70 243 326
71 741 427
72 347 402
73 545 420
74 176 349
75 555 45
76 265 400
77 272 509
78 253 325
79 205 367
80 402 171
81 662 356
82 657 397
83 400 378
84 246 427
85 39 203
86 603 349
87 490 304
88 260 464
89 531 145
90 267 454
91 321 488
92 659 656
93 329 462
94 509 72
95 304 492
96 182 311
97 668 498
98 524 346
99 788 641
100 379 329
101 350 369
102 539 423
103 521 53
104 195 381
105 203 344
106 395 571
107 495 576
108 539 420
109 173 225
110 321 488
111 376 397
112 298 243
113 325 472
114 317 532
115 210 210
116 465 435
117 186 302
118 551 342
119 523 613
120 509 485
121 337 322
122 564 510
123 211 406
124 346 497
125 553 438
126 111 259
127 517 70
128 437 201
129 311 473
130 552 165
131 267 384
132 385 288
133 554 348
134 210 329
135 251 366
136 481 466
137 181 355
138 485 180
139 335 510
140 191 385
141 219 424
142 648 596
143 449 369
144 330 295
145 713 440
146 674 708
147 128 220
148 677 400
149 317 463
150 368 426
151 285 501
152 274 364
153 736 421
154 384 473
155 385 463
156 265 484
157 219 359
158 539 358
159 323 198
160 721 448
161 728 691
162 560 521
163 713 483
164 173 354
165 195 240
166 326 479
167 543 428
168 351 559
169 619 342
170 489 184
171 212 387
172 335 243
173 239 339
174 527 302
175 195 237
176 251 353
177 476 666
178 513 330
179 530 645
180 297 466
181 187 395
182 534 346
183 683 677
