DATASET = CO2018 freestyle
NAME = Instance 8

DAYS = 30
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 1000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 1000

MACHINES = 4
1 6 231
2 4 134
3 8 584
4 5 446

LOCATIONS = 165
1 260 474
2 336 323
3 400 405
4 303 478
5 463 401
6 349 366
7 204 373
8 182 380
9 426 351
10 541 360
11 433 415
12 644 760
13 454 364
14 263 479
15 313 491
16 640 387
17 766 632
18 577 731
19 738 741
20 594 568
21 290 440
22 185 381
23 738 484
24 499 321
25 556 547
26 354 228
27 738 741
28 205 313
29 455 291
30 275 367
31 433 236
32 278 313
33 519 239
34 651 499
35 295 466
36 300 543
37 526 351
38 762 601
39 563 674
40 547 638
41 427 401
42 423 406
43 197 317
44 731 558
45 187 267
46 567 381
47 261 440
48 227 350
49 651 368
50 620 604
51 267 491
52 574 344
53 667 721
54 512 683
55 310 491
56 271 314
57 376 409
58 380 430
59 361 379
60 555 174
61 261 462
62 447 294
63 343 424
64 727 608
65 242 325
66 176 345
67 398 775
68 395 417
69 544 469
70 566 700
71 179 378
72 521 397
73 581 722
74 425 411
75 329 410
76 661 708
77 278 558
78 498 323
79 226 342
80 160 293
81 181 342
82 60 215
83 428 422
84 684 353
85 539 362
86 397 284
87 250 228
88 120 211
89 239 327
90 673 470
91 346 391
92 495 402
93 325 187
94 282 527
95 270 299
96 476 364
97 560 360
98 553 415
99 434 285
100 438 512
101 242 385
102 494 152
103 515 357
104 287 311
105 465 707
106 276 365
107 202 315
108 434 364
109 286 237
110 435 363
111 236 318
112 499 319
113 236 375
114 316 308
115 470 375
116 532 44
117 81 234
118 285 531
119 428 401
120 522 45
121 663 357
122 298 467
123 346 262
124 285 549
125 220 369
126 109 219
127 247 345
128 211 388
129 182 310
130 266 313
131 321 490
132 478 355
133 263 297
134 521 744
135 300 474
136 518 308
137 108 147
138 309 387
139 186 371
140 717 724
141 536 295
142 368 391
143 200 337
144 429 331
145 352 507
146 499 788
147 288 544
148 376 311
149 300 496
150 394 207
151 397 378
152 322 468
153 285 627
154 260 502
155 547 418
156 510 712
157 268 508
158 293 557
159 293 508
160 398 369
161 262 494
162 181 382
163 355 233
164 576 751
165 505 206

REQUESTS = 450
1 122 1 6 4 2
2 28 1 6 2 2
3 4 1 2 2 1
4 77 1 4 2 3
5 95 1 5 1 1
6 48 1 4 2 3
7 34 1 6 4 2
8 31 1 6 2 3
9 94 1 3 4 1
