DATASET = CO2018 freestyle
NAME = Instance 3

DAYS = 30
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 1000

MACHINES = 4
1 6 32
2 5 115
3 5 88
4 4 944

LOCATIONS = 165
1 249 350
2 334 449
3 515 356
4 490 713
5 486 305
6 409 159
7 252 335
8 608 352
9 646 411
10 315 579
11 194 384
12 320 480
13 307 478
14 251 419
15 650 576
16 464 402
17 232 360
18 577 475
19 361 327
20 504 648
21 309 475
22 693 769
23 280 248
24 239 347
25 494 358
26 222 220
27 551 123
28 272 508
29 536 418
30 422 421
31 212 362
32 330 313
33 229 337
34 261 353
35 426 350
36 464 197
37 533 342
38 236 375
39 291 309
40 195 371
41 217 417
42 404 400
43 438 209
44 363 380
45 668 431
46 506 477
47 226 259
48 496 568
49 434 363
50 633 410
51 61 215
52 369 432
53 665 723
54 678 380
55 337 450
56 258 481
57 288 552
58 282 550
59 718 630
60 418 387
61 304 465
62 742 450
63 397 424
64 214 341
65 549 323
66 311 388
67 251 445
68 457 351
69 335 271
70 242 354
71 527 766
72 45 203
73 312 331
74 362 404
75 437 195
76 332 451
77 577 345
78 287 609
79 178 380
80 652 559
81 402 462
82 364 270
83 209 340
84 225 327
85 361 391
86 145 230
87 531 355
88 585 404
89 585 717
90 478 214
91 458 351
92 296 503
93 285 562
94 177 353
95 698 610
96 274 301
97 579 437
98 629 669
99 387 478
100 740 467
101 346 386
102 350 266
103 248 343
104 577 367
105 247 305
106 358 240
107 429 190
108 518 335
109 504 314
110 583 353
111 301 559
112 236 385
113 117 222
114 317 532
115 582 190
116 298 494
117 203 363
118 527 332
119 414 276
120 203 389
121 344 454
122 375 434
123 320 467
124 497 59
125 510 717
126 534 359
127 309 580
128 20 216
129 313 444
130 286 443
131 267 474
132 508 715
133 374 431
134 605 429
135 304 438
136 478 363
137 376 472
138 458 343
139 591 615
140 211 362
141 326 334
142 648 473
143 316 484
144 704 409
145 610 702
146 180 322
147 642 471
148 666 434
149 536 641
150 39 203
151 705 452
152 69 278
153 206 323
154 562 711
155 311 702
156 363 419
157 302 472
158 279 244
159 556 546
160 263 318
161 308 466
162 749 656
163 301 248
164 283 312
165 315 318

REQUESTS = 450
1 120 1 5 4 3
2 129 1 2 3 3
3 93 1 4 2 3
4 8 1 4 1 1
5 118 1 6 4 1
6 135 1 5 3 3
7 11 1 6 1 1
8 144 1 3 2 3
9 79 1 3 2 2
